sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,Placed
37,F,86.9,Central,59.1,Others,Arts,60.07,Arts,Yes,68.05,Mkt&Fin,88.97,Placed,349749.259823577,Yes
38,M,71.53,Central,74.02,Others,Commerce,78.39,Comm&Mgmt,Yes,78.04,Mkt&Fin,98.39,Placed,349749.259823577,Yes
39,F,92.58,Central,59.65,Central,Commerce,87.13,Comm&Mgmt,No,76.58,Mkt&Fin,88.94,Not Placed,349749.259823577,No
40,F,52.99,Central,96.91,Central,Arts,90.86,Comm&Mgmt,No,98.16,Mkt&Fin,59.7,Placed,349749.259823577,Yes
41,F,64.23,Others,89.44,Others,Commerce,61.04,Arts,Yes,90.09,Mkt&HR,78.55,Not Placed,349749.259823577,No
42,M,72.87,Central,92.23,Others,Arts,56.11,Arts,Yes,99.21,Mkt&Fin,64.7,Not Placed,261854,No
43,M,50.07,Central,65.18,Others,Commerce,66.84,Arts,No,62.66,Mkt&HR,76.59,Placed,349749.259823577,Yes
44,M,57.34,Central,76.91,Central,Science,73.38,Arts,Yes,51.78,Mkt&Fin,81.97,Not Placed,349749.259823577,No
45,M,69.11,Others,91.6,Central,Commerce,59.66,Comm&Mgmt,No,99.32,Mkt&HR,83.79,Not Placed,349749.259823577,No
46,M,75.51,Others,84.68,Central,Science,61.38,Arts,No,51.42,Mkt&HR,95.73,Not Placed,349749.259823577,No
47,M,95.32,Others,97.32,Central,Science,80.75,Arts,Yes,86.4,Mkt&HR,80.56,Placed,247099,Yes
48,F,51.08,Others,81.98,Others,Commerce,64.85,Comm&Mgmt,No,82.81,Mkt&HR,63.84,Not Placed,349749.259823577,No
49,F,92.32,Central,93.72,Others,Arts,74.57,Comm&Mgmt,Yes,90.84,Mkt&Fin,69.9,Not Placed,397426,No
50,F,85.52,Central,82.7,Central,Commerce,60.62,Comm&Mgmt,No,65.62,Mkt&Fin,64.78,Not Placed,349749.259823577,No
51,M,91.07,Central,77.73,Central,Arts,63.42,Sci&Tech,No,72.01,Mkt&Fin,90.22,Not Placed,349749.259823577,No
52,M,71.43,Others,65.99,Others,Commerce,64.86,Arts,No,52.3,Mkt&HR,63,Not Placed,471182,No
53,M,68.26,Others,74.87,Others,Science,68.68,Arts,No,66.55,Mkt&HR,56.89,Placed,349749.259823577,Yes
54,M,71.11,Central,96.8,Others,Commerce,98.21,Comm&Mgmt,Yes,77.25,Mkt&HR,74.01,Not Placed,349749.259823577,No
55,F,54.24,Others,50.52,Central,Arts,77.16,Sci&Tech,No,90.64,Mkt&HR,61.07,Not Placed,469665,No
56,F,53.13,Central,59.64,Central,Arts,58.41,Sci&Tech,Yes,94.3,Mkt&HR,99.22,Not Placed,349749.259823577,No
57,M,93.35,Central,66.69,Central,Commerce,98.37,Sci&Tech,No,83.77,Mkt&HR,77.11,Placed,295531,Yes
58,F,76.1,Central,60.21,Central,Science,70.52,Comm&Mgmt,No,82.87,Mkt&HR,96.55,Placed,327554,Yes
59,F,92.68,Central,83.33,Others,Commerce,76.17,Sci&Tech,No,58.77,Mkt&HR,80.27,Not Placed,349749.259823577,No
60,F,74.69,Central,83.16,Central,Arts,57.04,Arts,No,62.89,Mkt&HR,96.82,Placed,349749.259823577,Yes
61,M,98.58,Central,61.71,Central,Arts,83.9,Sci&Tech,Yes,95.3,Mkt&HR,82.89,Placed,349749.259823577,Yes
62,F,57.34,Central,97.8,Central,Science,63.57,Arts,No,91.33,Mkt&Fin,66.18,Placed,349749.259823577,Yes
63,F,89.87,Others,68.57,Others,Science,54.62,Arts,No,67.02,Mkt&Fin,68.53,Not Placed,349749.259823577,No
64,F,87.42,Others,89.45,Central,Arts,71.4,Sci&Tech,Yes,94.71,Mkt&HR,56.22,Not Placed,238536,No
65,M,75.12,Central,93.97,Others,Arts,50.49,Arts,No,99.56,Mkt&Fin,52.28,Placed,349749.259823577,Yes
66,F,53.63,Others,65.72,Others,Commerce,92.81,Comm&Mgmt,No,98.15,Mkt&Fin,54.39,Not Placed,349749.259823577,No
67,F,86.4,Others,68.81,Others,Commerce,63.91,Arts,No,62.08,Mkt&HR,85.47,Placed,349749.259823577,Yes
68,M,98.11,Central,59.65,Central,Commerce,94.7,Comm&Mgmt,Yes,71.55,Mkt&Fin,51.88,Not Placed,349749.259823577,No
69,F,73.28,Central,73.5,Others,Commerce,59.82,Comm&Mgmt,No,65.89,Mkt&HR,79.85,Placed,349749.259823577,Yes
70,M,73.61,Others,60.39,Central,Commerce,56.28,Comm&Mgmt,Yes,92.42,Mkt&HR,79.15,Not Placed,349749.259823577,No
71,M,81.78,Central,50.69,Others,Arts,97.87,Sci&Tech,No,70.1,Mkt&HR,69.48,Placed,319927,Yes
72,F,91.07,Others,70.33,Others,Arts,66.43,Arts,Yes,85.72,Mkt&HR,98.79,Placed,349749.259823577,Yes
73,M,52.43,Central,84.38,Central,Commerce,82.1,Sci&Tech,No,67.61,Mkt&Fin,58.96,Not Placed,349749.259823577,No
74,F,69.97,Central,81.9,Central,Science,57.58,Comm&Mgmt,Yes,71.66,Mkt&HR,70.24,Not Placed,349749.259823577,No
75,M,70.3,Others,66.65,Others,Science,61.72,Sci&Tech,No,95.56,Mkt&HR,70.73,Not Placed,349749.259823577,No
76,M,80.24,Others,50.85,Others,Science,82.8,Comm&Mgmt,Yes,90.13,Mkt&HR,51.64,Placed,396264,Yes
77,M,60.99,Central,50.5,Central,Arts,59.44,Arts,Yes,66.7,Mkt&HR,98.94,Not Placed,349749.259823577,No
78,M,93.07,Others,69.7,Central,Arts,87.61,Arts,Yes,58.44,Mkt&HR,83.21,Placed,223468,Yes
79,F,93.39,Central,66.39,Central,Science,76.24,Arts,Yes,50.88,Mkt&Fin,56.54,Not Placed,349749.259823577,No
80,F,50.42,Others,94.73,Others,Arts,90.6,Sci&Tech,No,58,Mkt&Fin,81.36,Not Placed,349749.259823577,No
81,M,75.08,Central,90.09,Central,Arts,76.02,Arts,No,63.67,Mkt&Fin,52.83,Not Placed,349749.259823577,No
82,F,65.22,Others,50.39,Central,Arts,75.97,Sci&Tech,Yes,90.49,Mkt&Fin,96.77,Not Placed,349749.259823577,No
83,F,63,Central,58.55,Others,Science,65.53,Arts,Yes,69.44,Mkt&Fin,67.09,Not Placed,349749.259823577,No
84,M,86.06,Others,98.95,Central,Arts,51.91,Comm&Mgmt,No,72.91,Mkt&Fin,77.89,Not Placed,349749.259823577,No
85,M,61.54,Central,76.25,Others,Arts,75.66,Arts,No,94.31,Mkt&HR,51.87,Placed,349749.259823577,Yes
86,F,77.54,Others,84.61,Others,Science,72.07,Arts,No,56.05,Mkt&HR,76.32,Not Placed,349749.259823577,No
87,M,72.74,Others,99.73,Others,Arts,96.11,Comm&Mgmt,Yes,90.27,Mkt&HR,91.82,Not Placed,349749.259823577,No
88,M,83.95,Central,69.16,Others,Arts,57.82,Sci&Tech,Yes,73.34,Mkt&HR,95.27,Placed,349749.259823577,Yes
89,F,77.74,Others,58.45,Others,Commerce,91.31,Comm&Mgmt,Yes,96.66,Mkt&Fin,58.66,Not Placed,349749.259823577,No
90,F,69.37,Central,93.59,Others,Science,91.69,Comm&Mgmt,No,95.02,Mkt&HR,77.17,Not Placed,349749.259823577,No
91,F,76.73,Others,83.69,Central,Commerce,58.89,Arts,No,53.06,Mkt&HR,52.04,Not Placed,452715,No
92,F,77.69,Others,50.44,Others,Commerce,68.52,Sci&Tech,No,83.52,Mkt&HR,90.89,Not Placed,349749.259823577,No
93,F,82.66,Others,70.3,Others,Commerce,74.93,Comm&Mgmt,No,58.66,Mkt&Fin,94.97,Placed,349749.259823577,Yes
94,F,61.54,Central,59.65,Central,Arts,63.5,Comm&Mgmt,No,94.52,Mkt&HR,55.38,Placed,349749.259823577,Yes
95,M,81.39,Central,72.49,Others,Arts,73.55,Arts,No,56.81,Mkt&HR,54.2,Placed,298647,Yes
96,F,97.91,Others,59.76,Others,Science,55.57,Comm&Mgmt,Yes,69.92,Mkt&HR,88.39,Not Placed,349749.259823577,No
97,M,79.49,Others,55.87,Central,Commerce,66.82,Comm&Mgmt,No,70.6,Mkt&Fin,98.68,Not Placed,245421,No
98,F,59.58,Central,83.69,Others,Commerce,54.38,Comm&Mgmt,No,75.3,Mkt&HR,78.85,Not Placed,472062,No
99,F,82.6,Others,93.92,Others,Commerce,88.09,Comm&Mgmt,No,78.47,Mkt&Fin,53.7,Not Placed,348788,No
100,F,61.39,Central,63.19,Others,Science,83.23,Comm&Mgmt,No,66.96,Mkt&HR,68.72,Not Placed,349749.259823577,No
101,F,51.82,Others,75.28,Central,Arts,71.8,Comm&Mgmt,No,72.35,Mkt&HR,83.03,Placed,323887,Yes
102,M,55.45,Others,56.93,Central,Arts,88.25,Sci&Tech,Yes,69.75,Mkt&Fin,51.19,Placed,349749.259823577,Yes
103,M,70.04,Central,56.33,Others,Arts,53.46,Comm&Mgmt,No,87.68,Mkt&HR,74.72,Not Placed,349749.259823577,No
104,M,90.36,Others,89.14,Others,Arts,79.77,Comm&Mgmt,No,65.38,Mkt&HR,78.48,Not Placed,349749.259823577,No
105,M,66.8,Others,92.43,Central,Arts,67.62,Comm&Mgmt,Yes,69.52,Mkt&Fin,69.54,Placed,349749.259823577,Yes
106,F,84.8,Others,83.15,Others,Science,55.14,Arts,No,61.43,Mkt&Fin,95.56,Placed,253112,Yes
107,M,56.29,Central,79.85,Others,Arts,88.37,Sci&Tech,Yes,96.34,Mkt&HR,91.73,Placed,349749.259823577,Yes
108,F,90.03,Others,68.72,Others,Science,62.92,Comm&Mgmt,No,98.8,Mkt&Fin,63.74,Placed,211550,Yes
109,M,90.77,Others,50.22,Central,Commerce,87.54,Comm&Mgmt,Yes,60.12,Mkt&Fin,78.49,Placed,349749.259823577,Yes
110,F,79.7,Others,56.49,Central,Commerce,77.48,Arts,Yes,87.7,Mkt&HR,74.62,Placed,349749.259823577,Yes
111,F,97.04,Central,81.18,Central,Commerce,97.96,Sci&Tech,Yes,78.93,Mkt&Fin,60.22,Not Placed,349749.259823577,No
112,F,83.98,Others,50.26,Others,Commerce,53.22,Arts,Yes,66.56,Mkt&HR,83.65,Placed,395600,Yes
113,M,78.43,Central,87.72,Others,Science,99.22,Comm&Mgmt,Yes,56.96,Mkt&HR,94.32,Placed,349749.259823577,Yes
114,M,86.45,Others,50.75,Others,Commerce,91.78,Arts,Yes,66.92,Mkt&Fin,77.85,Placed,349749.259823577,Yes
115,F,51.98,Others,89.47,Others,Arts,70.32,Arts,No,62.26,Mkt&Fin,71.31,Not Placed,381959,No
116,F,88.05,Central,78.54,Others,Arts,66.62,Arts,No,73.98,Mkt&Fin,63.52,Placed,349749.259823577,Yes
117,F,95.6,Central,94.87,Central,Science,88.45,Sci&Tech,Yes,89.87,Mkt&Fin,91.72,Not Placed,349749.259823577,No
118,M,89.76,Others,67.31,Others,Science,80.54,Sci&Tech,Yes,60.53,Mkt&HR,96.65,Placed,349749.259823577,Yes
119,F,57,Others,62.3,Others,Science,68.66,Sci&Tech,Yes,81.48,Mkt&Fin,66.99,Placed,349749.259823577,Yes
120,F,96.47,Others,78.91,Central,Commerce,80.66,Comm&Mgmt,No,63.8,Mkt&HR,85.52,Placed,349749.259823577,Yes
121,M,70.66,Others,81.63,Central,Science,67.49,Comm&Mgmt,No,95.46,Mkt&HR,72.21,Placed,349749.259823577,Yes
122,F,84.77,Others,65.38,Others,Science,66.14,Sci&Tech,No,90.08,Mkt&Fin,99.02,Not Placed,349749.259823577,No
123,F,59.11,Others,57.06,Central,Commerce,75.04,Sci&Tech,Yes,58.74,Mkt&Fin,92.22,Placed,349749.259823577,Yes
124,F,61.96,Central,90.12,Others,Science,51.52,Arts,No,89.99,Mkt&Fin,52.62,Not Placed,349749.259823577,No
125,M,77.71,Central,73.44,Central,Science,54.09,Comm&Mgmt,No,55.7,Mkt&HR,66.34,Not Placed,458063,No
126,M,99.13,Central,92.09,Others,Arts,64.09,Comm&Mgmt,Yes,60.49,Mkt&Fin,85.38,Not Placed,349749.259823577,No
127,M,72.82,Central,55.38,Others,Commerce,79.26,Comm&Mgmt,No,53.25,Mkt&HR,98.79,Placed,349749.259823577,Yes
128,F,83.13,Central,63.92,Central,Science,81.22,Sci&Tech,Yes,58.01,Mkt&Fin,74.2,Placed,338920,Yes
129,F,63.1,Central,93.53,Central,Science,80.02,Arts,Yes,88.34,Mkt&HR,82.38,Not Placed,349749.259823577,No
130,F,50.2,Others,66.13,Central,Arts,65.14,Comm&Mgmt,Yes,68.1,Mkt&Fin,93.59,Not Placed,349749.259823577,No
131,M,94.55,Others,75.47,Others,Arts,91.46,Sci&Tech,No,94.23,Mkt&HR,68.82,Placed,347642,Yes
132,F,90.87,Others,80.82,Others,Commerce,50.2,Arts,No,82.95,Mkt&Fin,56.55,Placed,349749.259823577,Yes
133,F,83.42,Others,86.36,Others,Science,55.22,Sci&Tech,No,72.25,Mkt&HR,78.35,Not Placed,349749.259823577,No
134,F,70.18,Others,65.35,Central,Arts,90.09,Arts,No,85.5,Mkt&Fin,80.79,Placed,349749.259823577,Yes
135,F,53.93,Central,76.57,Others,Arts,62.04,Comm&Mgmt,No,53.26,Mkt&Fin,84.47,Not Placed,349749.259823577,No
136,F,71.83,Central,71.61,Others,Commerce,62.29,Arts,Yes,92.61,Mkt&Fin,79.83,Not Placed,349749.259823577,No
137,F,96.27,Central,64.91,Central,Commerce,53.75,Sci&Tech,No,52.35,Mkt&Fin,50.27,Placed,349749.259823577,Yes
138,M,63.64,Central,68.67,Others,Commerce,64.77,Sci&Tech,No,95.66,Mkt&HR,63.31,Not Placed,349749.259823577,No
139,M,61.95,Central,68.02,Central,Arts,55.87,Arts,Yes,91.47,Mkt&Fin,58.28,Placed,349749.259823577,Yes
140,F,78.5,Others,98.68,Central,Science,75.82,Arts,No,68.06,Mkt&HR,69.75,Not Placed,339444,No
141,M,98.65,Central,57.77,Central,Science,63.37,Arts,No,79.22,Mkt&Fin,69.85,Not Placed,349749.259823577,No
142,M,88.44,Others,60.87,Central,Science,76.44,Arts,No,52.04,Mkt&HR,75.94,Placed,349749.259823577,Yes
143,F,56.76,Others,91.75,Central,Commerce,51.18,Arts,No,55.81,Mkt&HR,98.3,Not Placed,349749.259823577,No
144,F,59.01,Central,69.69,Others,Arts,88.33,Arts,Yes,55.84,Mkt&Fin,68.41,Not Placed,295447,No
145,F,93.28,Central,80.74,Central,Science,86.94,Comm&Mgmt,No,79.51,Mkt&Fin,59.4,Placed,349749.259823577,Yes
146,M,57.87,Central,97.56,Central,Commerce,89.03,Arts,Yes,53.97,Mkt&HR,91.71,Not Placed,349749.259823577,No
147,M,67.94,Central,80.51,Others,Science,90.93,Sci&Tech,Yes,79.08,Mkt&HR,52.4,Placed,349749.259823577,Yes
148,M,68.28,Central,81.91,Central,Arts,55.52,Comm&Mgmt,Yes,53.93,Mkt&HR,82.1,Not Placed,349749.259823577,No
149,F,77.51,Others,80.45,Central,Science,70.16,Comm&Mgmt,Yes,86.57,Mkt&Fin,51.52,Placed,349749.259823577,Yes
150,M,92.11,Others,68.56,Others,Arts,78.94,Comm&Mgmt,No,76.82,Mkt&HR,83.32,Placed,430267,Yes
151,M,59.65,Others,84.68,Others,Commerce,96.77,Arts,Yes,82.58,Mkt&HR,76.13,Not Placed,441505,No
152,F,73.31,Others,69.98,Central,Science,97.85,Arts,Yes,90.94,Mkt&HR,73.62,Not Placed,455689,No
153,F,93.69,Central,60.78,Central,Arts,81,Arts,No,51.55,Mkt&HR,99.85,Not Placed,300715,No
154,F,82.33,Central,71.65,Central,Arts,78.48,Comm&Mgmt,Yes,66.6,Mkt&Fin,74.43,Not Placed,349749.259823577,No
155,F,90.33,Others,77.21,Central,Science,73.03,Arts,No,65.12,Mkt&HR,60.62,Not Placed,349749.259823577,No
156,F,69.99,Central,70.72,Central,Science,67.01,Arts,No,78.09,Mkt&HR,93.77,Placed,441567,Yes
157,F,72.35,Others,50.44,Central,Arts,93.43,Sci&Tech,No,89.66,Mkt&Fin,53.65,Placed,349749.259823577,Yes
158,M,78.11,Others,55.15,Others,Science,58.93,Sci&Tech,No,75.29,Mkt&Fin,86.04,Not Placed,388014,No
159,F,72.7,Central,94.29,Central,Science,66.54,Arts,Yes,64.22,Mkt&Fin,67.97,Placed,235220,Yes
160,F,67.23,Others,72.59,Others,Science,62.84,Comm&Mgmt,Yes,65.66,Mkt&Fin,89.01,Not Placed,335144,No
161,M,88.1,Others,71.57,Central,Commerce,58.19,Comm&Mgmt,No,98.71,Mkt&Fin,89.13,Placed,283100,Yes
162,M,99.78,Others,60.94,Central,Arts,65.71,Sci&Tech,Yes,91.14,Mkt&HR,90.04,Not Placed,349749.259823577,No
163,M,52.21,Others,86.53,Central,Commerce,87.98,Arts,Yes,91.63,Mkt&HR,61.67,Placed,349749.259823577,Yes
164,M,84.27,Central,95.22,Central,Commerce,62.64,Arts,No,60.62,Mkt&Fin,55.26,Placed,349749.259823577,Yes
165,M,55.04,Central,55.1,Others,Science,90.69,Arts,Yes,53.43,Mkt&HR,98.79,Placed,349749.259823577,Yes
166,F,90.73,Others,61.89,Others,Arts,59.52,Sci&Tech,Yes,52.89,Mkt&HR,58.58,Not Placed,349749.259823577,No
167,M,58.85,Central,77.75,Central,Arts,70.46,Arts,Yes,96.19,Mkt&Fin,81.49,Not Placed,349749.259823577,No
168,F,85.28,Others,77.46,Central,Arts,65.62,Comm&Mgmt,No,89.55,Mkt&HR,70.9,Not Placed,349749.259823577,No
169,F,69.94,Central,95.06,Central,Arts,79.29,Sci&Tech,No,54.47,Mkt&Fin,83.68,Not Placed,349749.259823577,No
170,M,95.53,Central,68,Others,Commerce,98.38,Comm&Mgmt,Yes,84.46,Mkt&Fin,80.97,Placed,349749.259823577,Yes
171,M,58.39,Central,63.38,Others,Arts,67.43,Sci&Tech,Yes,72.59,Mkt&HR,64.04,Placed,349749.259823577,Yes
172,M,87.34,Others,77.25,Others,Commerce,62.05,Arts,No,70.36,Mkt&Fin,81.34,Not Placed,349749.259823577,No
173,M,85.75,Others,80.1,Central,Commerce,62.38,Comm&Mgmt,Yes,61.88,Mkt&HR,58.53,Not Placed,349749.259823577,No
174,F,88.85,Others,51.12,Others,Science,83.29,Sci&Tech,No,72.38,Mkt&Fin,66.53,Placed,349749.259823577,Yes
175,M,95.48,Others,80.98,Others,Science,90.1,Sci&Tech,Yes,75.89,Mkt&HR,60.42,Not Placed,362912,No
176,F,84.39,Others,76.21,Others,Science,83.47,Sci&Tech,No,68.44,Mkt&Fin,67.94,Placed,349749.259823577,Yes
177,F,89.27,Others,65.28,Central,Science,74.16,Arts,No,75.3,Mkt&HR,70.43,Placed,349749.259823577,Yes
178,F,76.09,Central,55.14,Others,Science,92.4,Sci&Tech,No,55.18,Mkt&HR,89.92,Not Placed,349749.259823577,No
179,M,80.96,Others,69.97,Central,Commerce,57.29,Sci&Tech,No,56.23,Mkt&Fin,80.5,Placed,349749.259823577,Yes
180,M,52.77,Central,99.81,Others,Arts,71.79,Arts,No,51.55,Mkt&Fin,81.49,Placed,210074,Yes
181,F,64.69,Central,63.2,Central,Science,67.45,Arts,No,83.86,Mkt&Fin,77.79,Not Placed,325253,No
182,M,77.73,Others,97.79,Others,Arts,59.17,Comm&Mgmt,No,71.47,Mkt&Fin,80.45,Not Placed,247174,No
183,F,97.72,Central,60.45,Others,Science,63.21,Sci&Tech,No,68.18,Mkt&HR,60.84,Placed,349749.259823577,Yes
184,F,51.19,Central,76.26,Others,Arts,50.29,Arts,No,62.33,Mkt&HR,90.17,Not Placed,349749.259823577,No
185,M,61.48,Others,96.76,Central,Arts,95.1,Comm&Mgmt,Yes,99.51,Mkt&HR,74,Not Placed,349749.259823577,No
186,F,67.44,Central,80.75,Central,Arts,97.46,Sci&Tech,Yes,61.91,Mkt&Fin,71.07,Not Placed,349749.259823577,No
187,F,84.52,Others,87.4,Central,Arts,54.92,Arts,Yes,57.72,Mkt&Fin,50.61,Placed,349749.259823577,Yes
188,F,52.2,Others,72.34,Central,Science,63.26,Arts,No,65.59,Mkt&Fin,84.34,Not Placed,338574,No
189,F,85.05,Others,68.97,Central,Science,77.17,Comm&Mgmt,Yes,92.78,Mkt&HR,78.75,Not Placed,349749.259823577,No
190,F,67.56,Central,71.17,Central,Commerce,78.73,Sci&Tech,Yes,80.1,Mkt&Fin,98.71,Placed,349749.259823577,Yes
191,M,73.87,Others,55.66,Others,Arts,87.38,Sci&Tech,Yes,56.72,Mkt&Fin,72.65,Not Placed,492321,No
192,F,74.35,Others,83.85,Others,Science,76.42,Comm&Mgmt,Yes,95.14,Mkt&Fin,63.69,Not Placed,412531,No
193,M,81.78,Others,97.01,Others,Commerce,96.61,Comm&Mgmt,No,58.02,Mkt&Fin,74.44,Placed,462095,Yes
194,M,99.89,Others,70.43,Others,Science,76.66,Arts,Yes,65.34,Mkt&HR,71.59,Not Placed,349749.259823577,No
195,F,85.89,Others,81.44,Others,Commerce,84.93,Arts,Yes,89.68,Mkt&Fin,67.57,Placed,349749.259823577,Yes
196,F,57.74,Central,89.16,Others,Arts,98.07,Sci&Tech,Yes,75.44,Mkt&HR,53.49,Placed,349749.259823577,Yes
197,F,64.71,Central,89.34,Others,Arts,60.85,Sci&Tech,No,64.9,Mkt&HR,72.56,Placed,349749.259823577,Yes
198,F,88.13,Central,51.72,Others,Commerce,96.51,Arts,No,98.19,Mkt&Fin,83.3,Placed,349749.259823577,Yes
199,F,58.82,Others,95.64,Others,Commerce,98.06,Comm&Mgmt,No,63.57,Mkt&HR,75.09,Placed,349749.259823577,Yes
200,F,56.11,Central,69.11,Others,Arts,74.83,Arts,No,85.4,Mkt&Fin,52.25,Placed,349749.259823577,Yes
201,M,54.88,Others,91.68,Central,Commerce,63.61,Sci&Tech,No,86.68,Mkt&Fin,76.06,Placed,349749.259823577,Yes
202,F,97.56,Central,97.16,Others,Commerce,57.32,Arts,No,67.86,Mkt&HR,52.13,Not Placed,386469,No
203,M,52.46,Central,50.15,Others,Commerce,75.13,Arts,No,51.4,Mkt&HR,51.89,Not Placed,349749.259823577,No
204,M,52.83,Others,87.03,Others,Commerce,89.07,Sci&Tech,No,54.62,Mkt&Fin,74.95,Not Placed,354741,No
205,F,90.76,Others,72.96,Central,Arts,51.15,Sci&Tech,No,52.11,Mkt&Fin,84.79,Placed,349749.259823577,Yes
206,M,99.34,Others,54.2,Central,Science,82.88,Arts,No,60.51,Mkt&HR,70.07,Not Placed,349749.259823577,No
207,M,68.89,Central,81.16,Others,Commerce,77.27,Arts,Yes,97,Mkt&HR,79.94,Placed,269311,Yes
208,F,53.23,Central,85.94,Central,Science,77.87,Comm&Mgmt,No,97.89,Mkt&Fin,61.2,Placed,349749.259823577,Yes
